Year,Location,Category
2024,London,To Stiletto & Beyond
2024,London,Runway Nails
2024,London,Reality Nails
2024,London,Poster Pedicure
2024,London,Mixed Media
2024,London,Poster Manicure
2024,London,Flat Art
2024,London,Extreme Poster
2024,London,Design Nails for an Album Cover
2024,London,Art on Nails
2024,Germany,To Stiletto & Beyond
2024,Germany,The Joy Of Nails
2024,Germany,Salon Nails
2024,Germany,Runway Nails
2024,Germany,Reality Nail Art
2024,Germany,Mixed Media Boxed Art
2024,Germany,Flat Art Design Box
2024,Germany,Gel Polish Manicure
2024,Germany,French Twist
2024,Germany,Invent a Nail Shape
2024,Germany,Poster Manicure
2023,London,Stiletto Nails
2023,London,Salon Nails
2023,London,To Stiletto & Beyond
2023,London,Poster Manicure
2023,London,Flat Art
2023,London,Extreme Poster Styling
2023,London,Design Nails For An Album Cover
2023,London,Art On Nails Over 2 Inches
2023,Orlando,Stiletto Nails
2023,Orlando,Salon Nails
2023,Orlando,Runway Nails
2023,Orlando,Joy Of Nails
2023,Orlando,Invent A Nail Shape
2023,Orlando,Extreme Poster
2023,Orlando,Acrylic Tip & Overlay
2023,Orlando,Acrylic Sculpture
2023,Orlando,Flat Art
2023,Orlando,Acrylic Perfect Match

2022,Orlando,Gel Polish Manicure
2022,Orlando,Reality Nail Art
2022,Orlando,Runway Nails
2022,Orlando,Mixed Media Boxed Art
2022,Orlando,Invent a Nail Shape
2022,Orlando,Fantasy
2022,Orlando,Acrylic T&O
2022,Orlando,Acrylic Sculpture
2022,Orlando,Perfect Match
2022,Orlando,The Joy of Nails
2022,Orlando,Stiletto Nails

2022,Germany,Invent a Nail Shape
2022,Germany,Gel Polish Manicure
2022,Germany,Extreme Nails Poster
2022,Germany,Acrylic L&P Sculpture
2022,Germany,Mixed Media
2022,Germany,Stiletto Nails
2022,Germany,Acrylic Tip & Overlay
2022,Germany,Salon Nails
2022,Germany,The Joy of Nails

2022,Online,Poster Pedicure
2022,Online,Design nails for an album cover
2022,Online,Invent a Nail Shape
2022,Online,Manicure Poster

2021,Online,Extreme Nails & Face 
2021,Online,Poster Manicure
2021,Online,Poster Pedicure
2021,Online,Style for Marketing Card 
2021,Online,Gel Polish Manicure 
2021,Online,Design nails for an album cover 
2021,Online,Awards Night Chic 
2021,Online,Flat Art Box Design 
2021,Online,Mixed Media Box Design
2021,Online,Art on Nails more than 1 inch 
2021,Online,Art on Nails more than 2 inches 
2021,Online,Invent a Nail Shape 
2021,Online,The Joy of Nails 
2021,Online,The VIP 5 shape challenge
